100
72 24
49 13
69 0
13 7
74 17
71 24
16 73
17 58
20 94
86 45
41 8
51 60
80 97
99 82
71 70
60 43
47 61
8 68
13 21
75 87
91 98
64 7
71 81
18 43
75 4
89 16
64 92
77 45
41 28
27 12
51 87
55 98
0 16
18 14
37 45
1 28
95 17
88 19
99 6
62 26
62 3
95 27
96 72
72 37
52 99
2 3
38 9
53 90
25 71
4 63
16 58
43 12
75 31
31 26
89 93
53 52
49 48
79 45
72 51
34 24
2 36
28 92
98 81
82 23
5 87
86 21
97 82
33 72
13 16
99 3
62 4
55 11
52 86
8 76
89 94
0 91
83 80
35 81
14 17
4 19
56 43
40 53
25 26
26 38
42 77
93 56
81 0
67 85
86 27
61 75
22 61
18 5
94 53
86 8
23 90
27 79
85 67
33 10
45 11
1 40
